0,0,19,37
1,76,26,37
2,180,2,37
3,188,72,37
4,476,3,37
5,488,10,37
6,528,6,37
7,552,2,37
8,560,23,37
9,652,13,37
10,704,32,37
11,832,14,37
12,888,4,37
13,904,21,37
14,988,2,37
15,996,2,37
16,1004,4,37
17,1020,2,37
18,1028,8,37
19,1060,8,37
20,1092,2,37
21,1100,10,37
22,1140,12,37
23,1188,2,37
24,1196,25,37
25,1296,59,37
26,1532,16,37
27,1596,26,37
28,1700,8,37
29,1732,14,37
30,1788,2,37
31,1796,14,37
32,1852,6,37
33,1876,2,37
34,1884,24,37
35,1980,7,37
36,2008,2,37
37,2016,28,37
38,2128,16,37
39,2192,3,37
40,2204,10,37
41,2244,13,37
42,2296,4,37
43,2312,7,37
44,2340,8,37
45,2372,6,37
46,2396,25,37
47,2496,4,37
48,2512,2,37
49,2520,2,37
50,2528,6,37
51,2552,2,37
52,2560,2,37
53,2568,11,37
54,2612,3,37
55,2624,12,37
56,2672,26,37
57,2776,34,37
58,2912,11,37
59,2956,11,37
60,3000,2,37
61,3008,7,37
62,3036,114,37
63,3492,41,37
64,3656,50,37
65,3856,2,37
66,3864,2,37
67,3872,44,37
68,4048,12,37
69,4096,14,37
70,4152,14,37
71,4208,7,37
72,4236,138,37
73,4788,2,37
74,4796,3,37
75,4808,18,37
76,4880,50,37
77,5080,2,37
78,5088,7,37
79,5116,2,37
80,5124,5,37
81,5144,2,37
82,5152,9,37
83,5188,149,37
84,5784,4,37
85,5800,3,37
86,5812,2,37
87,5820,12,37
88,5868,14,37
89,5924,4,37
90,5940,2,37
91,5948,2,37
92,5956,2,37
93,5964,8,37
94,5996,2,37
95,6004,14,37
96,6060,46,37
97,6244,15,37
98,6304,4,37
99,6320,2,37
100,6328,4,37
101,6344,4,37
102,6360,7,37
103,6388,2,37
104,6396,3,37
105,6408,2,37
106,6416,3,37
107,6428,22,37
108,6516,27,37
109,6624,9,37
110,6660,7,37
111,6688,7,37
112,6716,19,37
113,6792,27,37
114,6900,2,37
115,6908,2,37
116,6916,2,37
117,6924,2,37
118,6932,2,37
119,6940,15,37
120,7000,15,37
121,7060,7,37
122,7088,15,37
123,7148,3,37
124,7160,13,37
125,7212,2,37
126,7220,2,37
127,7228,6,37
128,7252,53,37
129,7464,2,37
130,7472,2,37
131,7480,2,37
132,7488,3,37
133,7500,2,37
134,7508,2,37
135,7516,30,37
136,7636,7,37
137,7664,2,37
138,7672,5,37
139,7692,2,37
140,7700,5,37
141,7720,46,37
142,7904,2,37
143,7912,4,37
144,7928,8,37
145,7960,8,37
146,7992,2,37
147,8000,5,37
148,8020,2,37
149,8028,5,37
150,8048,3,37
151,8060,7,37
152,8088,160,37
153,8728,4,37
154,8744,14,37
155,8800,2,37
156,8808,4,37
157,8824,7,37
158,8852,6,37
